Lens ID,Title,Publication Year,Abstract,Keywords,MeSH Terms
000-247-520-313-487,"Evaluation of Multiple Ability (K-6) Beginning Teacher Competencies. For Class B Certification in Elementary Education, Early Childhood Education, and Mild Disabilities.",1993,,,
000-315-279-343-20X,Research-Based Practices for Emergent Bilinguals with Moderate Intellectual Disability: A Review of Literature,2019,"Emergent Bilinguals (EB), particularly those of Latino descent, who have a moderate intellectual disability (ID) are arguably one of the most underserved and under researched populations. Although ...",,
000-339-941-862-458,"Childhood Health Shocks, Comparative Advantage, and Long-Term Outcomes: Evidence from the Last Danish Polio Epidemic",2018,"A large literature documents that childhood health shocks have lasting negative consequences for adult outcomes. This paper demonstrates that the adversity of childhood physical disability can be mediated by individuals' educational and occupational choices, which reflect their comparative advantage. We merge records on children hospitalized with poliomyelitis during the 1952 Danish epidemic to census and administrative data, and exploit quasi-random variation in paralysis incidence. While childhood disability increases the likelihood of early retirement and disability pension receipt at age 50, paralytic polio survivors obtain higher education and are more likely to work in white-collar and computer-demanding jobs than their non-paralytic counterparts.",,
000-818-335-825-399,Comparative Educational Considerations in Special Secondary Education in Greece (2015 – 2019),2023,"<jats:p>Our article examines policies for Special Vocational Secondary Education in Greece. Emphasis is placed on the presentation of legislation with references to the organization and operation of schools and education structures. The aim is to highlight either the different policies for Special Education compared to previous periods, or the evolution of previous policies. As can be seen from our study, the period 2015 – 2019 is considered to be decisive in the evolution of policies for Special Secondary Education. Gradually, Greece is harmonizing with policies of the European Union and International Organizations for the performance of the policy of the rights of people with disabilities. Especially the organization of Secondary Vocational Education changes the model of Education of people with disabilities with emphasis on the acquisition of skills, in order to integrate into the labour market. Thus, in the expanded study framework, the policies of the Organisation for Economic Co-operation and Development (O.E.C.D.) are also examined in order to highlight the particular scientific – economic capital that is being formed and evolving on the role of education in the labour market. The increased attendance of people with disabilities in public educational structures is related to their right to education, quality of life and social integration, so that they can be integrated into social and professional life without discrimination, avoiding social exclusion and marginalization.</jats:p>",,
000-963-951-077-583,Using the Multiple Intelligences to Enhance Instruction for Young Children and Young Children with Disabilities,2005,The theory of the multiple intelligences are discussed in relation to working with young children and young children with disabilities. A rationale for the use of the multiple intelligences is discussed as well as practical suggestions on how they can be incorporated into early childhood programs.,,
001-140-199-311-667,"Quality Inclusive Practices for Preschoolers with Disabilities : Providing Access, Opportunities for Participation, and Supports",2019,"For over 30 years research and policy in early childhood special education (ECSE) has supported inclusive environments for children with disabilities. High-quality inclusive educational experiences include a combination of exemplary practices in general early childhood education (EC) along with recommended practices in ECSE. Two documents highlight recommendations for the inclusion of children with disabilities in educational and community settings. The first document, Early Childhood Inclusion: A Joint Position Statement of the Division for Early Childhood of the Council for Exceptional Children and the National Association for the Education of Young Children (2009), was co-authored by the two largest organizations representing EC and ECSE professionals. It provides a definition for the inclusion of children with disabilities and offers recommendations to expand inclusive opportunities (DEC /NAEYC, 2009). The second document, co-authored by the U.S. Department of Health and Human Services and the U.S. Department of Education (2015), provides recommendations to states to further the inclusion of children with disabilities in early education and care settings. This chapter draws upon these statements as we highlight research on high-quality inclusive settings for preschoolers with disabilities. We include suggestions for research and increased support for inclusive preschool education.",,
001-641-778-155-06X,Changes in the Empirical Representation of Pre-service Early Childhood Teachers on Disabilities and Inclusive Education: with priority given to early childhood education students taking courses related to special education,2017,"<jats:p>The purpose of this study was to examine what changes pre-service early childhood teachers underwent in empirical representation on disabilities and inclusive education by taking courses that were related to special education and put emphasis on practical knowledge, skills and reflective deliberation. The subjects in this study were 106 selected early childhood education students who were in their third year at a college. Data were collected from September 1 to December 15, 2016. Their images of disabilities and inclusive education were collected, and words that they used to represent disabilities and inclusive education were gathered as well. As a result of analyzing the; collected data, the change that the pre-service early childhood teachers experienced in empirical representation on disabilities after taking the courses related to special education was  escaping from otherness . And there were three subcategories:  From reified discrimination to the universality of value ,  from pity to recognition , and  from; someone who doesn t concern me to someone to whom I should reach out . The change in their empirical representation on inclusive education after taking the courses related to special education was  intentional endeavor for coexistence and co-living . And there were three subcategories:  From something to mind to seeking value that can be embodied by coming together ,  from simple arrangement to environments that should be prepared to ensure diversity , and  from vague fear to confidence and will for practice . The findings of the study are expected to provide information on how to provide teacher education to guarantee the successful spread and fulfillment of inclusive; early childhood education.</jats:p>",,
001-783-983-679-413,Collaboration Is the Key: A Conversation With Dr. Vivian I. Correa,2024,"<jats:p> Dr. Correa is a professor emerita in the Department of Child Development and Family Studies at the University of North Carolina, Charlotte. Throughout her career, Dr. Correa’s research focused on young children with disabilities, bilingual special education, teacher education, and the intersection of early childhood special education with early childhood education. These foci resulted in research that crosses boundaries, involving strong collaborative partnerships across special education and general education within school settings, departments within universities, and multiple universities nationally. </jats:p>",,
002-187-001-451-141,Development of a staff training prototype for early childhood centers.,1971,,,"Child, Preschool; Persons with Disabilities; Education of Persons with Intellectual Disabilities; Education, Special; Government Agencies; Humans; Legislation as Topic; United States"
002-370-633-560-667,A Review of Transition Research in Early Intervention/Early Childhood Special Education Field: Peer-reviewed Journals Published Since 2000,2014,,,
002-497-236-953-422,A Study on Understanding on the Resilience Process of Families of Younger Children with Disabilities: With a Special Reference to the Grounded Theory Approach,2015,,,
002-825-498-616-899,Education for Parenthood/Vitamin Sales Limited/Indian Education Examined/California's Early Childhood Education,1973,,,
002-840-534-794-568,Meeting the mandate of Public Law 99-457: early childhood intervention in the nineties.,1989,"The Education of the Handicapped Act Amendments of 1986 (PL 99-457) represents the most far-reaching public legislation ever enacted for disabled and developmentally vulnerable young children. This paper presents the basic requirements of the law and discusses the elements of a comprehensive system of early childhood intervention. The challenges and problems created by the law are delineated, and recommendations presented.",,"Child; Child, Preschool; Developmental Disabilities/rehabilitation; Persons with Disabilities/psychology; Education, Special/legislation & jurisprudence; Eligibility Determination/legislation & jurisprudence; Forecasting; Humans; Risk Factors; United States"
