Lens ID,Title,Publication Year,Abstract
000-315-279-343-20X,Research-Based Practices for Emergent Bilinguals with Moderate Intellectual Disability: A Review of Literature,2019,"Emergent Bilinguals (EB), particularly those of Latino descent, who have a moderate intellectual disability (ID) are arguably one of the most underserved and under researched populations. Although ..."
000-340-939-801-734,"Trauma-informed care in early intervention: Providers' barriers, boundaries, and needs.",2026,"Young children who receive early intervention (EI) services are at increased likelihood of having experienced trauma, as trauma is most common in the birth-to-three age range, especially for children with disabilities. Little is known about EI services for trauma-impacted children and families. Previous research suggested that EI providers are unprepared to support trauma. Thus, we conducted qualitative interviews with 14 EI providers in one US state to understand the barriers and needs related to trauma-informed care (TIC). We organized our findings so that each theme is nested in a system from social ecological theory. The six themes included macrosystem (the system is unequipped, lack of role clarity), exosystem (providers need specific training), mesosystem (gatekeeping, family-provider dynamics), and microsystem (EI providers' well-being and comfort). Implications include the need for a top-down approach to TIC in EI and clarification of the roles of various EI disciplines in implementing TIC."
000-674-694-033-377,Addressing Clinician–Client Mismatch: A Preliminary Intervention Study With a Bilingual Vietnamese–English Preschooler,2011,Purpose This project examined receptive vocabulary treatment outcomes in the two languages of a bilingual preschooler with moderate to severe language impairment. Method A series of single-subject ...
000-675-990-551-990,Examining the Use of Recommended Language Intervention Practices in Early Childhood Special Education Classrooms.,1996,Two studies were conducted to describe the extent to which recommended language intervention practices were implemented in preschool classrooms serving young children with disabilities and to investigate the relationships between children's observed level of exposure to those practices and their language outcomes. Study 1 was a descriptive study of the amount and type of language training received by 59 children in 26 preschool classrooms. Repeated observations of these children over a 4-month period revealed that children exposed to higher levels of recommended practices had higher rates of engagement and verbalizations. Study 2 was a process-product study that examined the relationship between children's gain on language measures and their level of exposure to recommended practices. Results showed that children who made greater language gains were more likely to be in classrooms that provided more frequent exposure to recommended language intervention strategies. Implications for training and research a...
000-751-399-827-912,Start with Us! Culturally Relevant Pedagogy in the Preschool Classroom,2014,"Using an ethnographic case study approach, we examined how teachers and parents within an ethnically diverse early childhood program conceptualized and implemented culturally relevant pedagogy and how these primary caregivers were encouraging children’s socio-cultural development and awareness. Data sources included questionnaires, interview transcripts, and observational field notes (classroom and community). Findings suggest there were multiple strategies and resources teachers used to facilitate the socio-cultural growth of young children indicative of culturally relevant practices. However, we discovered there were mediating factors that impacted how and whether teachers were able to implement culturally relevant pedagogy in the early childhood classroom."
000-782-319-500-648,Sociocultural influences on disability status in Puerto Rican children.,2001,"BACKGROUND AND PURPOSE: This article describes culturally defined meanings of childhood function and disability in Puerto Rico to provide a context for the interpretation of test scores from the Spanish translation of the Pediatric Evaluation of Disability Inventory (PEDI). SUBJECTS AND METHODS: More than 600 Puerto Rican teachers, parents and caregivers of children with and without disabilities, and members of the general community participated in ethnographic interviews, which were designed to describe their beliefs, attitudes, and knowledge about childhood function and disability. RESULTS: Qualitative and quantitative data analysis confirmed that differences exist between Puerto Ricans and the norms established in the United States for the performance of functional skills by children, and the analysis also described Puerto Rican beliefs and attitudes toward disability. DISCUSSION AND CONCLUSION: Puerto Rican values of interdependence, anonar (pampering or nurturing behaviors), and sobre protectiva (overprotectiveness) influence parental expectations for the capability of children with disabilities and should be considered when interpreting scores from the PEDI and establishing plans of care. Additional research is needed on the influence of contextual variables on child development and behavioral adaptations to disability."
000-814-961-567-229,A Comparison of the Effects of Type of Classroom and Service Characteristics on Toddlers with Disabilities.,1998,"This article presents a descriptive analysis of 37 toddler-age children in early intervention. The children had disabilities that ranged from moderate to severe, and they attended classroom settings that were either segregated (children with disabilities only) or inclusive (childcare classrooms having no more than two children with disabilities). The two groups of children were comparable on indices of child development and family background, and they were placed in classrooms according to service availability and family preference. A number of service characteristics differentiated the two types of classrooms, including a higher intensity and frequency of related services being delivered to children in segregated classrooms and larger groups of children and slightly longer hours in the childcare classroom. After 1 year of intervention, there was no difference in developmental progress between the two groups of children; that is, inclusive childcare settings were as effective as segregated classrooms for ..."
000-867-819-535-364,Shifting to Remote Learning During COVID-19: Differences for Early Childhood and Early Childhood Special Education Teachers.,2021,"This study explored similarities and differences in how early childhood education (ECE) teachers (n = 947) and early childhood special education (ECSE) teachers (n = 160) provided remote learning to young children and their families following COVID-19 shelter in place orders in the spring of 2020. The most utilized remote learning activities for both ECE and ECSE teachers were the provision of activities for families to use at home, communication with families, online lessons, and singing songs and reading books. Both types of professionals spent more time planning and communicating with families than providing instruction to children. Results of chi-square tests of independence revealed differences in activities provided, how time was spent, and training received by professional role. Open-ended responses revealed particular challenges for ECE and ECSE teachers. Findings are discussed in the context of how the early childhood field adapted quickly to remote learning during COVID-19 and the implications for ongoing technology support for early childhood personnel based on their professional role."
000-976-389-770-200,"Factors Associated with Self-regulation in a Nationally Representative Sample of Children Ages 3-5 Years: United States, 2016.",2020,"The aim of the present study was to describe self-regulation (the ability to influence or control one’s thoughts or behavior in response to situational demands and social norms) in children ages 3–5 years using a nationally representative sample and examine risk and protective factors to identify opportunities to support children and families. Using a cross-sectional design, we examined data from a parent-reported pilot measure of self-regulation from the 2016 National Survey of Children’s Health (NSCH). We compared U.S. children aged 3–5 years who were described by parents as “on track” with self-regulation development with children who were not. In addition, we described how health care and developmental services, community, family, and child health and development factors are associated with children’s self-regulation. The majority of children (4 of 5) were described by their parents to be developmentally on track with self-regulation. Compared to children described as not on track, children described as on track more often lived in financially and socially advantaged environments and less often experienced family adversity. They also had other positive health and development indicators, whether or not they were receiving developmental services. However, only half of children not on track received developmental surveillance, and only 1 in 4 children described as not on track received educational, mental health, or developmental services. The findings are a step towards using self-regulation as an indicator of healthy child development and as a potential strategy to identify groups of children who may need additional support."
001-021-924-453-464,"Exploring the Disproportionate Use of Restraint and Seclusion Among Students with Disabilities, Boys, and Students of Color",2020,"To examine disproportionality in the use of restraint and seclusion for students with disabilities compared with their peers, for boys compared with girls, and for students of color, specifically Black and Hispanic students, compared with White students. We used the 2015–2016 Civil Rights Data Collection (CRDC), in which 21% (n = 19,700) of U.S. public schools reported using restraints or seclusions at least once during the 2015–2016 school year and 6% (n = 5485) of schools reported using restraints or seclusions at least 10 times. We used risk ratios (RR) and robust variance estimation (RVE) meta-regression analyses to estimate a covariate-adjusted mean RR to identify disproportionate use of restraints and seclusions. In schools with reported use of restraint or seclusion at least 10 times, students with disabilities were 200% more likely to be subject to restraint or seclusion relative to their peers; students attending elementary schools were more likely to receive restraint or seclusion than students attending secondary schools. Similarly, Black students were almost 200% more likely and Hispanic students were 45% more likely to experience a restraint or seclusion than their White counterparts. Prior research and results from this study indicate that subgroups of students—particularly students with disabilities, Black students, and Hispanic students—are disproportionately subject to the use of restraint and seclusion. Yet, research has found that restraints and seclusions are not effective interventions and should only be used as a last resort."
