Lens ID,Publication Year,Abstract,Keywords
000-315-279-343-20X,2019,"Emergent Bilinguals (EB), particularly those of Latino descent, who have a moderate intellectual disability (ID) are arguably one of the most underserved and under researched populations. Although ...",
000-494-199-490-935,2019,"Background Children are believed to be the most vulnerable group to leprosy. Childhood leprosy reflects disease transmission in the community as well as the efficiency of ongoing disease control programmes. In Cuba, leprosy is not a national health problem; however, new childhood leprosy cases are diagnosed every year. Objective We summarise the experience of Cuba on childhood leprosy control over the past two decades. Results Between 2000 and 2017, a total of 103 children in Cuba have been diagnosed with leprosy, showing that active transmission of cases remains in 13 of 15 provinces of Cuba. The majority of cases were multibacillary (66%), and 34% were paucibacillary cases. Clinically 60% of children have more than five lesions all over their body. Voluntary reporting was the principal method of case detection. The presence of familial and extrafamilial contact with leprosy cases may be a cause of concern, as it implies continuing transmission of the disease. Only four children had disabilities (one with grade 2 disabilities and three with grade 1 disabilities). A set of national investigations have been developed to intervene in a timely manner. Intervention strategies that combine clinical surveillance and laboratory test could be an option for early detection of childhood leprosy. Conclusions Early detection of cases due to effective health education campaigns, regular and complete treatment with MDT, and contact tracing may be important in reducing the burden of leprosy in the community.",dermatology; tropical infectious disease
000-499-910-182-444,2020,"<jats:p>Представлены научные предпосылки и концептуальные основы новой системы мониторинга качества дошкольного образования (МКДО) в Российской Федерации. Описаны цели и задачи Концепции МКДО, области, показатели и система уровневой оценки качества дошкольного образования. Представлена модель разностороннего оценивания качества образования в дошкольных образовательных организациях, модель многоуровневого сбора информации МКДО с использованием единой информационной платформы МКДО. Обозначены возможные направления использования результатов мониторинговых процедур на всех уровнях системы дошкольного образования России.</jats:p>;                                                                                             <jats:p>The article presents the scientific background for the development of the new quality monitoring system in the Russian Federation, as well as goals, objectives and main provisions of the Conceptual framework for early childhood education quality monitoring in the Russian Federation. The article presents a system of level assessment of the quality of preschool education, which is embedded in the monitoring concept. The article presents a model of comprehensive assessment of the quality of education in preschool institutions, a model of multilevel collection of information from the MKDO using the unified information platform of the monitoring. ; It describes the aspects and indicators for assessment and evaluation of the quality of early childhood education in early childhood classrooms and in early childhood settings in general. The authors of the concept proposes 9 areas of quality to organize information monitoring: educational guidelines; educational program; teacher qualifications; content of educational activities; educational process organization; educational environment; creation of conditions for preschool education of children with special needs and disabilities; interaction with parents; provision of meals to students and preschool institution employees; child protection and health improvement, management and development of the organization. ; It formulates possible directions of implementation of the results of monitoring procedures at all levels of early childhood education system in the Russian Federation.</jats:p>",
000-814-961-567-229,1998,"This article presents a descriptive analysis of 37 toddler-age children in early intervention. The children had disabilities that ranged from moderate to severe, and they attended classroom settings that were either segregated (children with disabilities only) or inclusive (childcare classrooms having no more than two children with disabilities). The two groups of children were comparable on indices of child development and family background, and they were placed in classrooms according to service availability and family preference. A number of service characteristics differentiated the two types of classrooms, including a higher intensity and frequency of related services being delivered to children in segregated classrooms and larger groups of children and slightly longer hours in the childcare classroom. After 1 year of intervention, there was no difference in developmental progress between the two groups of children; that is, inclusive childcare settings were as effective as segregated classrooms for ...",
000-818-335-825-399,2023,"<jats:p>Our article examines policies for Special Vocational Secondary Education in Greece. Emphasis is placed on the presentation of legislation with references to the organization and operation of schools and education structures. The aim is to highlight either the different policies for Special Education compared to previous periods, or the evolution of previous policies. As can be seen from our study, the period 2015 – 2019 is considered to be decisive in the evolution of policies for Special Secondary Education. Gradually, Greece is harmonizing with policies of the European Union and International Organizations for the performance of the policy of the rights of people with disabilities. Especially the organization of Secondary Vocational Education changes the model of Education of people with disabilities with emphasis on the acquisition of skills, in order to integrate into the labour market. Thus, in the expanded study framework, the policies of the Organisation for Economic Co-operation and Development (O.E.C.D.) are also examined in order to highlight the particular scientific – economic capital that is being formed and evolving on the role of education in the labour market. The increased attendance of people with disabilities in public educational structures is related to their right to education, quality of life and social integration, so that they can be integrated into social and professional life without discrimination, avoiding social exclusion and marginalization.</jats:p>",
000-963-951-077-583,2005,The theory of the multiple intelligences are discussed in relation to working with young children and young children with disabilities. A rationale for the use of the multiple intelligences is discussed as well as practical suggestions on how they can be incorporated into early childhood programs.,
001-036-283-329-632,2008,"Given the unique demands of educating adolescents with disabilities, the longterm focus on elementary and early-childhood special education, and the recent emphasis on the enhancement of the quality of education and accountability issues and on inclusive education at the secondary level, there is a need to examine the current status and unique functions of secondary special education in Korea. [I]he present paper rcviews the current status of secondary special education and explores 7 themes defining the features of secondary special education in Korea. Some functions of secondary spccial education and indicators of the quality of the practice of secondary special education and transition services ar ¢ also examined.",
001-149-673-775-874,2002,"AIMS: This study investigates the association in women between conditions during childhood and adolescence and alcohol dependence or abuse in adulthood on the one hand, and disability pensions and long-term sickness absence on the other. METHODS: A stratified population-based sample of women in Goteborg was interviewed. For analyses in this study the following variables were selected from the interview protocol: childhood and adolescence, education, employment, social class, self-rated physical health and alcohol dependence or abuse (ADA), with diagnoses assessed according to DSM-III-R. Information on disability pension and sickness absence was obtained from the local Social Insurance Office. RESULTS: Unfavourable conditions during childhood and adolescence and school difficulties as well as early deviant behaviours predicted disability pension and long-term sickness absence in adulthood. For most risk factors ADA could explain only a minor part of the odds ratios found in crude and age-adjusted analyses. CONCLUSION: It is concluded that conditions early in life are predictors in women of disability pension and long-term incapacity to work. There are similarities in the pattern of early risk factors for later alcohol dependence or abuse and for disability pension/long-term sickness absence. Language: en",
001-247-079-355-948,2005,"The purpose of this study was to investigate the experiences of stigma-related discrimination in 50 Puerto Rican and Mexican single mothers of young children with disabilities. Mothers were interviewed on issues related to raising a child with disabilities. This was a preliminary exploration of the stories mothers told specifically related to discrimination. A qualitative analysis of the transcripts revealed clear evidence of discrimination as a result of culture, disability, and a combination of culture and disability. Professionals and strangers were responsible for the majority of the discrimination. Experiences were related to the higher number of interactions with service providers, lack of English language proficiency, being the solitary caregiver for their child with a disability, their status of “other,” and the internalization of that status.",
001-503-930-344-215,2010,"<jats:p>This study explores teacher candidates’ understandings of children with special needs and learning disabilities; the effect of a special education course supporting a tutoring practicum; and how curricula can critically deconstruct and disrupt dominant, inequitable notions and practices. Data were collected through initial and end-of-course questionnaires and focus groups that took place after the course and related practica had ended. Theory-practice gaps addressed are transferable to teacher education contexts where the focus is on developing future teachers’ understandings of and responses to dis/ability in early childhood education learning environments.</jats:p>",
