Lens ID,Title,Publication Year,Source Country,Author/s,Keywords
000-037-540-654-056,Long COVID,2023,,Kirsty R. Short,
000-425-845-807-513,Coping with long-COVID stigma: The role of self-compassion and self-coldness,2025,,Maor Shani; Kilian Wübbelt,
000-516-474-169-658,Age and chest computed tomography severity score are predictors of long-COVID.,2024,Italy,Merve Erkan,chest CT; long-COVID; pneumonia chest CT severity score; post-COVID
000-521-509-636-014,To Long COVID and Beyond,2021,United Kingdom,David Misselbrook,
000-579-570-485-747,Children with Long Covid: Co-producing a specialist community public health nursing response,2021,,Michael Fanner; Elaine Maxwell,
001-093-041-546-993,"Evaluating the associations among asthma, asthma control and long COVID in U.S. adults.",2025,Germany,Chun-Tse Hung; Yu-Chien Hung; Chi-Won Suk; Chung-Hsuen Wu,Asthma; Asthma control; COVID-19; Long COVID; National Health Interview Survey; Post COVID-19 condition
001-300-953-475-226,Could We Designate Long COVID a Syndrome?,2024,,Fuzhou Wang,
001-337-438-272-116,Long COVID.,2021,United Kingdom,Ioana Visan,
001-519-436-598-97X,Long COVID Is Associated with Excess Direct Healthcare Expenditures Among Adults in the United States.,2025,Switzerland,Rolake Neba; Lakshmi Sraddha Pedaprolu; Bryan Neba; Usha Sambamoorthi,COVID; healthcare expenditures; long COVID
001-679-756-116-653,Association of cognitive deficits with sociodemographic characteristics among adults with post-COVID conditions: Findings from the United States household pulse survey.,2025,England,Daniel J Wu; Nianjun Liu,cognitive deficit; education attainment level; household pulse survey; long COVID; sociodemographic groups
002-758-616-046-093,Long COVID Linked With Unemployment in New Analysis.,2023,United States,Melissa Suran,
002-924-884-214-365,Fatigue and Long-COVID,2023,,Keith Geraghty; Leonard A. Jason,
002-967-562-490-391,Patterns in the relationship between acute COVID-19/long COVID-19 and quality of life,2022,China,Hakan Tüzün; Cansu Özbaş; Burkay Budak; Gizem Altunay; F. N. Baran Aksakal,
002-987-916-934-26X,LONG COVID SYNDROME,2023,,Sof'ya Kuznecova; Elena Belyaeva,
003-133-901-088-491,Spanish telemedicine data on 8 children support concept of 'long covid' in children.,2021,United States,Jonas F. Ludvigsson,
003-273-523-496-352,Long Covid - Into the Third Year.,2023,United States,Timothy Meagher,COVID-19; epidemiology; infectious diseases; long-COVID; post-COVID-19 condition.
003-360-278-439-041,"Fatigue as a key feature in asthma, COPD and long covid",2024,,Maarten Van Herck,
003-361-460-234-100,An exploration into the self-reported experiences of musculoskeletal pain in females diagnosed with long Covid within the eThekwini Municipality,2024,,Karisa Pillay,
003-482-045-476-074,Damage Control—Discussing the Long-Term Psychiatric and Neurologic Consequences of Covid-19 Infections,2022,,,
003-516-669-091-802,Long COVID After Bamlanivimab Treatment,2024,,Evering T.H.; Мухамедьярова А.Б.; Nikolaus Jilg; Y. T a k e; B. Sanusi; Wohl D.A.; Daar E.S.; Li J.Z.; P. Klekotka; Javan A.C.; Eron J.J.; Currier J.S.; Hughes M.D.; Smith D.M.; Chew K.W.; ACTIV- A Study Team,
003-541-270-851-042,79. Long-term Health Outcomes of Individuals who are Infected with SARS-CoV-2 and Develop COVID-19,2022,United States,Lilac Tene; Tobias Bergroth; Anna Eisenberg; Gabriel Chodick,
004-064-585-740-096,129Xe lung ventilation imaging in patients with long COVID without prior respiratory disease,2024,,Laura Saunders; Guilhem Collier; Laurie Smith; Helen Marshall; Alberto Biancardi; Demi Jakymelen; Scarlett Strickland; Lotta Gustafsson; Ryan Munro; Oliver Rodgers; Neil Stewart; Graham Norquay; David Capener; Alexander Horsley; A A Roger Thompson; Jim Wild,
004-331-568-467-554,Navigating the social identity of long covid,2021,United Kingdom,Julie Van de Vyver; Ana C. Leite; Nisreen A Alwan,
004-371-044-809-935,The immunology of long COVID.,2023,United Kingdom,Daniel M Altmann; Emily M Whettlock; Siyi Liu; Deepa J Arachchillage; Rosemary J Boyton,
004-440-663-864-008,Elevated Risk of an Emergency Department Admission Associated With Long COVID Diagnosis Within the US Veteran Population.,2025,United States,Raymond Van Cleve; Amanda Lienau; Jonathan Sanchez Garcia,emergency medical service; long covid; long-term outcome; management of long covid; veterans health
004-467-730-615-010,Comparing surveyed adults with long COVID and those with just a positive test helps put COVID into perspective,2024,,Mary L. Adams; Joseph Grandpre,COVID; long COVID; vaccines; activity limitation; disability; BRFSS
004-859-424-045-251,Blueprint of differentially expressed genes reveals the dynamic gene expression landscape and the gender biases in long COVID.,2024,Netherlands,Chiranjib Chakraborty; Manojit Bhattacharya; Abdulrahman Alshammari; Thamer H Albekairi,Co-express gene; Differentially expressed genes; Gender bias; Long COVID
005-053-311-836-755,The Long Covid Patient,2024,,,
005-664-327-484-558,Characteristics of Chemosensory Perception in Long COVID and COVID Reinfection.,2023,Switzerland,Mikki Jaramillo; Thankam P Thyvalikakath; George Eckert; Mythily Srinivasan,long COVID; reinfection; smell perception; taste dysfunction
