Lens ID,Title,Publication Year,Author/s,Abstract,Keywords
000-425-845-807-513,Coping with long-COVID stigma: The role of self-compassion and self-coldness,2025,Maor Shani; Kilian Wübbelt,"Long COVID has been associated with stigmatization, prompting exploration of coping mechanisms. This cross-sectional study examined whether self-compassion and self-coldness mediate long-COVID stigma’s effects on well-being. We surveyed 201 German adults with long-COVID (89% female; Mage = 43.27, SD = 10.57). Most were officially diagnosed (88%), and 93% still experienced long-COVID symptoms at the time of survey. Measures included stigma, self-compassion, self-coldness, subjective well-being (SWB), and flourishing. Long-COVID stigma negatively correlated with SWB and flourishing. Higher self-compassion and lower self-coldness predicted better outcomes. Internalized stigma predicted lower flourishing through decreased self-compassion and increased self-coldness. In contrast, enacted stigma was associated with higher SWB and flourishing through lower self-coldness. Overall, mediation effects via self-coldness were significantly stronger than those via self-compassion, particularly in flourishing. These findings highlight the interplay between stigma, self-relating, and well-being, indicating both adaptive and maladaptive pathways. Interventions promoting self-compassion and reducing self-coldness may support holistic long-COVID care.",
000-516-474-169-658,Age and chest computed tomography severity score are predictors of long-COVID.,2024,Merve Erkan,"<AbstractText Label=""INTRODUCTION"">About one-third of acute coronavirus disease 2019 (COVID-19) survivors have suffered from persisting symptoms called long-COVID. Clinical factors such as age and intensity (moderate or acute) of COVID-19 have been found to be associated with long-COVID. Many tissues might be damaged functionally or structurally during acute COVID-19 which can be detected by blood assays and chest computed tomography (CT). We aimed to evaluate the relationship between long-COVID and the initial findings of blood assays and chest CT as possible predictors.</AbstractText>;           <AbstractText Label=""METHODOLOGY"">The study included patients with acute COVID-19. Laboratory tests and chest CT were obtained from each patient at the time of admission to the hospital. Chest CT was evaluated for pneumonic involvement and severity score. Multivariable regression model was created to find the factors that were independently associated with long-COVID.</AbstractText>;           <AbstractText Label=""RESULTS"">There were 60 (38.2%) patients with long-COVID and 97 (61.8%) without. Baseline demographic, laboratory and chest CT parameters were similar in both groups, except for age, chronic lung disease and chest CT severity score (46.9 ± 15.1 years vs 52.6 ± 15.9 years, p = 0.03; 11.7% vs 3.1%, p = 0.03 and 10.3 ± 9.6 vs 6.5 ± 7.6, p = 0.02, respectively). In multivariable model, chest CT severity score (OR: 1.059, 95% CI: 1.002-1.119, p = 0.04) and age (OR: 0.953, 95% CI: 0.928-0.979, p &lt; 0.001) were independently associated with long-COVID.</AbstractText>;           <AbstractText Label=""CONCLUSIONS"">Chest CT severity score and age were independently associated with long-COVID and may be used to predict the future risk of long-COVID.</AbstractText>;           <CopyrightInformation>Copyright (c) 2024 Merve Erkan.</CopyrightInformation>",chest CT; long-COVID; pneumonia chest CT severity score; post-COVID
000-521-509-636-014,To Long COVID and Beyond,2021,David Misselbrook,"David Misselbrook ; ; ; ; New diseases don’t come along that often. As I write, almost 5 million people have died of COVID-19 worldwide.1 How fortunate we are in the West to be relatively wealthy, well, and fully jabbed. Yet even in the UK it feels as if normal life has stopped for the last 18 months, with bereavement, grief, economic loss, mental health problems, and now ongoing illness and disability. And the knock-on effect on treatment of the old diseases, especially cancer.; ; And so to long COVID — not so much a single illness as a ragbag …",
000-579-570-485-747,Children with Long Covid: Co-producing a specialist community public health nursing response,2021,Michael Fanner; Elaine Maxwell,"<jats:p>Globally, children have been profoundly affected by the Covid-19 pandemic in many ways. While the majority of children with acute Covid-19 infection experience mild illness and fully recover, many go on to experience Long Covid. Long Covid is clinically identified by experience of persistent (and sometimes different) symptoms for several months after the acute infection (even in children who were asymptomatic). There is currently no agreed consensus on the case definition of Long Covid, but real-world data from American health insurance firms and the UK Office for National Statistics report that children may experience intestinal symptoms, pain, breathlessness, cognitive dysfunction and post-exercise malaise. The current understanding of the natural history, diagnostics and treatments of Long Covid is limited, meaning the medical model in isolation is not helpful. Health visitors and school nurses are ideally placed to case-find children with Long Covid and co-produce child and family-centred care.</jats:p>",
001-093-041-546-993,"Evaluating the associations among asthma, asthma control and long COVID in U.S. adults.",2025,Chun-Tse Hung; Yu-Chien Hung; Chi-Won Suk; Chung-Hsuen Wu,"<AbstractText Label=""OBJECTIVE"" NlmCategory=""OBJECTIVE"">This study aimed to evaluate (1) the association between asthma and long COVID among U.S. adults and (2) the association between asthma control and long COVID among U.S. adults with asthma.</AbstractText>;           <AbstractText Label=""METHODS"" NlmCategory=""METHODS"">Data from the 2023 National Health Interview Survey were used. Adults aged ≥ 18 years were included. Asthma control was measured by the history of asthma attacks and emergency room (ER) visits for asthma. Multivariable logistic regression models were used to evaluate the associations. A sensitivity analysis was performed by stratifying long COVID severity.</AbstractText>;           <AbstractText Label=""RESULTS"" NlmCategory=""RESULTS"">A total of 258,237,552 adults were included in this study. The prevalence of long COVID among U.S. adults in 2023 was 8.2%. When stratified by the presence of asthma, the prevalence was 15.2% for those with asthma and 7.6% for those without asthma (P &lt; 0.01). After adjusting for covariates, adults with asthma had higher odds of long COVID than those without asthma (OR, 1.58; 95% CI, 1.37-1.83). This association was consistent across long COVID severity levels. Poor asthma control was associated with increased odds of long COVID (asthma attacks: OR, 1.47; 95% CI, 1.09-1.97; ER visits for asthma: OR, 1.52; 95% CI, 1.02-2.27).</AbstractText>;           <AbstractText Label=""CONCLUSION"" NlmCategory=""CONCLUSIONS"">Asthma was associated with increased odds of long COVID. Patients with poorly controlled asthma were associated with increased odds of long COVID. From a clinical perspective, it is crucial to proactively identify patients with asthma at increased risk of long COVID, especially those with certain comorbidities. Future research on specific symptoms and the duration of long COVID among patients with asthma will benefit clinical practice.</AbstractText>;           <CopyrightInformation>© 2025. Springer-Verlag GmbH Germany, part of Springer Nature.</CopyrightInformation>",Asthma; Asthma control; COVID-19; Long COVID; National Health Interview Survey; Post COVID-19 condition
001-300-953-475-226,Could We Designate Long COVID a Syndrome?,2024,Fuzhou Wang,"<jats:p>Long COVID has been subject to growing examination as researchers and healthcare professionals strive to gain a deeper comprehension of its fundamental mechanisms and consequences. While syndromes often consist of a group of symptoms without a distinct underlying cause, Long COVID seems to be more intricate. Studies indicate that it could affect several organ systems and cause cellular-level harm, prompting specialists to propose that it be categorized as a syndrome rather than simple lingering consequences of the virus. However, further study needs to be conducted for determining whether there are distinctive characteristics that differentiate Long COVID as a distinct clinical entity from other post-viral conditions. Accurate identification of Long COVID will be essential in guiding treatment approaches and delivering appropriate therapy for patients who suffer from persistent symptoms after being infected with COVID-19.</jats:p>",
001-519-436-598-97X,Long COVID Is Associated with Excess Direct Healthcare Expenditures Among Adults in the United States.,2025,Rolake Neba; Lakshmi Sraddha Pedaprolu; Bryan Neba; Usha Sambamoorthi,"<b>Background:</b> Long COVID can lead to a considerable economic burden because of ongoing care for persistent symptoms such as fatigue, dyspnea, or cognitive dysfunction. However, systematic research quantifying healthcare expenditures associated with long COVID remains limited. <b>Objective:</b> This study estimated the excess total, payer, and out-of-pocket healthcare expenditures associated with long COVID among adults in the United States (US). <b>Methods:</b> This was a cross-sectional analysis on adults ≥18 years using 2022 Medical Expenditure Panel Survey (MEPS) data (N = 17,119; representing approximately 254 million adults). Economic burden was measured with (1) total, (2) payer, and (3) out-of-pocket expenditures by individuals and their families. Generalized linear models (GLMs) with gamma distribution and log link were utilized to estimate excess expenditures associated with long COVID after adjusting for age, sex, race and ethnicity, social determinants of health, health status, and lifestyle factors. <b>Results:</b> Overall, 7.0% of the population reported long COVID. Adults with long COVID exhibited higher total (USD 11,305 vs. USD 7162) and payer (USD 9983 vs. USD 6097) expenditures compared to those with no COVID. In a fully adjusted analysis, long COVID was associated with an excess of USD 4098 in total healthcare expenditures and USD 3705 in payer expenditures. We did not observe significant differences in out-of-pocket expenditures between those with long COVID and no COVID. <b>Conclusions:</b> Adults with long COVID had 1.5 times higher total healthcare costs compared to those without COVID. This study highlights the need for comprehensive strategies and policies to reduce the economic burden associated with long COVID.",COVID; healthcare expenditures; long COVID
001-679-756-116-653,Association of cognitive deficits with sociodemographic characteristics among adults with post-COVID conditions: Findings from the United States household pulse survey.,2025,Daniel J Wu; Nianjun Liu,"People infected with coronavirus disease-19 (COVID-19) may continue to experience symptoms for several weeks or even months after acute infection, a condition known as long COVID. Cognitive problems such as memory loss are among the most commonly reported symptoms of long COVID. However, a comprehensive evaluation of the risks of cognitive decline following COVID-19 infection among different sociodemographic groups has not been undertaken at the national level in the USA. We conducted a secondary analysis on the datasets from the U.S. Census Bureau Household Pulse Survey, encompassing data collected from 1 June 2022 to 19 December 2022. Based on a cohort of 385 370 individuals aged 18 years or older, we employed logistic regression analysis to examine the association between self-reported cognitive deficits and different sociodemographic factors among individuals with long COVID conditions. We have demonstrated that individuals with long COVID had a significantly higher risk of cognitive deficits compared to those with no history of COVID infection. Cognitive deficits vary across sociodemographic groups. In individuals without long COVID, men, older adults, and those with higher education reported fewer cognitive deficits, while Hispanics and residents of the South reported more. Long COVID had similar impacts across genders and regions but appeared to have the smallest impact on Hispanics compared to other racial groups. Conversely, the effects of long COVID were most significant in older adults and individuals with higher education. The state-level analysis further suggests potential variation in long COVID's effects across different states. The risks of cognitive deficits among adults with post-COVID conditions are substantial. Various sociodemographic groups can have different risks of developing cognitive deficits after experiencing long COVID. The findings of this large-scale study can help identify sociodemographic groups at higher risk of cognitive deficits, facilitate medical interventions, and guide resource allocation to target populations at risk and prioritize areas with a high rate of cognitive decline.",cognitive deficit; education attainment level; household pulse survey; long COVID; sociodemographic groups
002-758-616-046-093,Long COVID Linked With Unemployment in New Analysis.,2023,Melissa Suran,This Medical News article discusses new research on the association between long COVID and employment status.,
002-924-884-214-365,Fatigue and Long-COVID,2023,Keith Geraghty; Leonard A. Jason,"Fatigue is the most common symptom that affects those with acute and Long COVID. Over the past few years, governments around the world have spent millions of dollars on biomedical research that has quickly picked up a trail of clues that fatigue and Long-COVID are biological disorders with profound psycho-social consequences. The COVID-19 pandemic and symptoms such as fatigue have reignited interest in post-viral fatigue syndromes, illnesses that have historically challenged clinicians and medical orthodoxy. In this chapter, we review the theoretical controversies that surrounded the best known post-viral fatigue syndrome, that being myalgic encephalomyelitis/chronic fatigue syndrome. Its history in terms of research and practice has lessons for how scientists are trying to understand fatigue and Long COVID. This chapter concludes by discussing the implications of past work with post-viral fatigue syndromes, and how a better understanding of these syndromes can help health care practitioners and researchers interested in scientific inquiry regarding Long COVID.",
